Category,Food name en_GB,Food name en_US,Food name en_CA,Food name en_AU,Food name en_NZ,Food name en_IE,Overall status,Small portion desc,Large portion desc,Small portion oligos,Small portion fructose,Small portion polyols,Small portion lactose,Large portion oligos,Large portion fructose,Large portion polyols,Large portion lactose,Notes
fats_oils,"Dairy blend 70% butter\\\\, 30% oil spread","Dairy blend 70% butter\\\\, 30% oil spread","Dairy blend 70% butter\\\\, 30% oil spread","Dairy blend 70% butter\\\\, 30% oil spread","Dairy blend 70% butter\\\\, 30% oil spread","Dairy blend 70% butter\\\\, 30% oil spread",low,Half a tablespoon (9g),One tablespoon (19g),low,low,low,low,low,low,low,low,Fat can trigger symptoms when consumed in excess
fruit,Dates,Dates,Dates,Dates,Dates,Dates,high,Two pitted dates (48g),Four pitted dates (96g),high,low,low,low,high,low,low,low,
condiments,Dill (fresh),Dill (fresh),Dill (fresh),Dill (fresh),Dill (fresh),Dill (fresh),low,One cup (16g),One bunch (175g),low,low,low,low,low,low,low,low,
fruit,Dragon fruit,Dragon fruit,Dragon fruit,Dragon fruit,Dragon fruit,Dragon fruit,low,Half a medium fruit (165g),One medium fruit (330g),low,low,low,low,low,low,low,low,
vegetables,Dulse flakes (seaweed),Dulse flakes (seaweed),Dulse flakes (seaweed),Dulse flakes (seaweed),Dulse flakes (seaweed),Dulse flakes (seaweed),low,One teaspoon (5g),Two teaspoons (10g),low,low,low,low,low,low,low,low,
fruit,Durian,Durian,Durian,Durian,Durian,Durian,low,One segment (51g),Two segments (102g),low,low,low,low,low,low,low,low,
vegetables,Edamame (frozen soybeans),Edamame (frozen soybeans),Edamame (frozen soybeans),Edamame (frozen soybeans),Edamame (frozen soybeans),Edamame (frozen soybeans),low,Half a cup (25g),One cup (50g),low,low,low,low,low,low,low,low,
nuts_seeds,Egg replacer,Egg replacer,Egg replacer,Egg replacer,Egg replacer,Egg replacer,low,Half a teaspoon (3g),One teaspoon (6g),low,low,low,low,low,low,low,low,
meat_fish_eggs,Eggs,Eggs,Eggs,Eggs,Eggs,Eggs,low,One egg (58g),Two eggs (117g),low,low,low,low,low,low,low,low,
bread_cereal_rice_pasta,Einkorn flour,Einkorn flour,Einkorn flour,Einkorn flour,Einkorn flour,Einkorn flour,high,Two thirds of a cup (100g),n/a,high,low,low,low,n/a,n/a,n/a,n/a,
bread_cereal_rice_pasta,Einkorn flour (organic),Einkorn flour (organic),Einkorn flour (organic),Einkorn flour (organic),Einkorn flour (organic),Einkorn flour (organic),high,Two thirds of a cup (100g),n/a,high,low,low,low,n/a,n/a,n/a,n/a,
bread_cereal_rice_pasta,Emmer flour (farro),Emmer flour (farro),Emmer flour (farro),Emmer flour (farro),Emmer flour (farro),Emmer flour (farro),high,Two thirds of a cup (100g),n/a,high,low,low,low,n/a,n/a,n/a,n/a,
snacks,Energy bar (apple and berry),Energy bar (apple and berry),Energy bar (apple and berry),Energy bar (apple and berry),Energy bar (apple and berry),Energy bar (apple and berry),high,Half a bar (27g),One bar (55g),high,low,low,low,high,low,low,low,
snacks,Energy bar (fruit and nut),Energy bar (fruit and nut),Energy bar (fruit and nut),Energy bar (fruit and nut),Energy bar (fruit and nut),Energy bar (fruit and nut),high,Half a bar (17g),One bar (35g),high,high,low,low,high,high,low,low,
snacks,"Energy bar (organic oatmeal\\\\, raisins and walnut)","Energy bar (organic oatmeal\\\\, raisins and walnut)","Energy bar (organic oatmeal\\\\, raisins and walnut)","Energy bar (organic oatmeal\\\\, raisins and walnut)","Energy bar (organic oatmeal\\\\, raisins and walnut)","Energy bar (organic oatmeal\\\\, raisins and walnut)",high,Half a bar (34g),One bar (68g),high,low,low,low,high,low,medium,low,
snacks,Energy bar (organic peanut butter),Energy bar (organic peanut butter),Energy bar (organic peanut butter),Energy bar (organic peanut butter),Energy bar (organic peanut butter),Energy bar (organic peanut butter),high,Half a bar (34g),One bar (68g),high,low,low,low,high,low,low,low,
nuts_seeds,Falafel,Falafel,Falafel,Falafel,Falafel,Falafel,high,Two falafel balls (50g),Four falafel balls (100g),high,low,low,low,high,low,low,low,
fruit,Feijoa (pineapple guava),Feijoa (pineapple guava),Feijoa (pineapple guava),Feijoa (pineapple guava),Feijoa (pineapple guava),Feijoa (pineapple guava),high,One small feijoa (50g),Two small feijoas (100g),low,high,low,low,low,high,low,low,
vegetables,Fennel (bulb),Fennel (bulb),Fennel (bulb),Fennel (bulb),Fennel (bulb),Fennel (bulb),low,Quarter of a cup (25g),Half a cup (49g),low,low,low,low,low,low,low,low,Larger servings (100g or more) should be avoided
vegetables,Fennel (leaves),Fennel (leaves),Fennel (leaves),Fennel (leaves),Fennel (leaves),Fennel (leaves),low,Quarter of a cup (6g),Half a cup (12g),low,low,low,low,low,low,low,low,Larger servings (4 cups or more) should be avoided
condiments,Fennel seeds,Fennel seeds,Fennel seeds,Fennel seeds,Fennel seeds,Fennel seeds,low,Half a teaspoon (1g),One teaspoon (2g),low,low,low,low,low,low,low,low,
condiments,Fenugreek leaves (dried),Fenugreek leaves (dried),Fenugreek leaves (dried),Fenugreek leaves (dried),Fenugreek leaves (dried),Fenugreek leaves (dried),low,Half a cup (8g),One cup (16g),low,low,low,low,low,low,low,low,
condiments,Fenugreek seeds,Fenugreek seeds,Fenugreek seeds,Fenugreek seeds,Fenugreek seeds,Fenugreek seeds,low,One tablespoon (1g),Two tablespoons (2g),low,low,low,low,low,low,low,low,
fruit,Figs (dried),Figs (dried),Figs (dried),Figs (dried),Figs (dried),Figs (dried),high,Two figs (38g),Four figs (76g),high,low,low,low,high,low,low,low,
fruit,Figs (fresh),Figs (fresh),Figs (fresh),Figs (fresh),Figs (fresh),Figs (fresh),high,Half a medium fig (25g),One medium fig (50g),low,high,low,low,low,high,low,low,
meat_fish_eggs,Fish,Fish,Fish,Fish,Fish,Fish,low,52g cooked fish,100g cooked fish,low,low,low,low,low,low,low,low,
